Rk;Jogador;Equipe;Minutos jogados;Taxa de acerto total;Pontos de 3 convertidos;Pontos de 3 tentados;Taxa de acerto de 3 pontos;Rebotes;Assistencias;Pontos por jogo
235;Royce O'Neale;BRK;24.5;.388;2.0;5.4;.366;4.5;2.8;7.4
235;Royce O'Neale;PHO;25.1;.411;2.0;5.2;.376;5.2;2.7;8.1
236;RaiQuan Gray;SAS;13.0;.588;1.0;2.3;.429;2.3;2.0;7.7
237;Nikola Jović;MIA;19.5;.452;1.4;3.5;.399;4.2;2.0;7.7
238;Precious Achiuwa;2TM;21.9;.501;0.4;1.3;.268;6.6;1.3;7.6
238;Precious Achiuwa;TOR;17.5;.459;0.5;1.9;.277;5.4;1.8;7.7
238;Precious Achiuwa;NYK;24.2;.525;0.3;1.0;.260;7.2;1.1;7.6
239;Toumani Camara;POR;24.8;.450;0.8;2.5;.337;4.9;1.2;7.5
240;Cody Martin;CHO;26.9;.381;1.0;3.1;.314;3.9;3.7;7.5
241;Brice Sensabaugh;UTA;18.3;.390;1.1;3.6;.296;3.2;1.7;7.5
242;Cameron Payne;2TM;16.7;.432;1.3;3.4;.390;1.5;2.6;7.4
242;Cameron Payne;MIL;14.9;.455;1.1;2.8;.397;1.3;2.3;6.2
242;Cameron Payne;PHI;19.4;.413;1.7;4.4;.382;1.8;3.1;9.3
243;Christian Braun;DEN;20.2;.460;0.8;2.0;.384;3.7;1.6;7.3
244;Jaden Hardy;DAL;13.5;.407;1.1;3.1;.362;1.8;1.5;7.3
245;Taylor Hendricks;UTA;21.4;.450;1.3;3.5;.379;4.6;0.8;7.3
246;Paul Reed;PHI;19.4;.540;0.3;0.7;.368;6.0;1.3;7.3
247;Lamar Stevens;2TM;14.7;.450;0.4;1.2;.304;3.3;0.7;7.2
247;Lamar Stevens;BOS;6.4;.467;0.2;0.4;.375;1.6;0.4;2.8
247;Lamar Stevens;MEM;23.0;.446;0.6;2.0;.289;5.1;1.1;11.5
248;Johnny Juzang;UTA;18.6;.464;1.6;3.9;.416;1.8;1.2;7.2
249;Kevin Knox;DET;18.1;.462;1.0;3.0;.330;2.4;0.7;7.2
250;Trey Lyles;SAC;20.0;.445;1.4;3.8;.384;4.4;1.2;7.2
